Liechtenstein,Vaduz
"Sri Lanka",Colombo
Lesotho,Maseru
Lithuania,Vilnius
Luxembourg,"Luxembourg [Luxemburg/Lëtzebuerg]"
Latvia,Riga
Macao,Macao
Morocco,Rabat
Monaco,Monaco-Ville
Moldova,Chisinau
Madagascar,Antananarivo
Maldives,Male
Mexico,"Ciudad de México"
"Marshall Islands",Dalap-Uliga-Darrit
Macedonia,Skopje
Mali,Bamako
Malta,Valletta
Myanmar,"Rangoon (Yangon)"
Mongolia,"Ulan Bator"
"Northern Mariana Islands",Garapan
Mozambique,Maputo
Mauritania,Nouakchott
Montserrat,Plymouth
Martinique,Fort-de-France
Mauritius,Port-Louis
Malawi,Lilongwe
Malaysia,"Kuala Lumpur"
Mayotte,Mamoutzou
Namibia,Windhoek
"New Caledonia",Nouméa
Niger,Niamey
"Norfolk Island",Kingston
Nigeria,Abuja
Nicaragua,Managua
Niue,Alofi
Netherlands,Amsterdam
Norway,Oslo
Nepal,Kathmandu
Nauru,Yaren
"New Zealand",Wellington
Oman,Masqat
Pakistan,Islamabad
Panama,"Ciudad de Panamá"
Pitcairn,Adamstown
Peru,Lima
Philippines,Manila
Palau,Koror
"Papua New Guinea","Port Moresby"
Poland,Warszawa
"Puerto Rico","San Juan"
"North Korea",Pyongyang
Portugal,Lisboa
Paraguay,Asunción
Palestine,Gaza
"French Polynesia",Papeete
Qatar,Doha
Réunion,Saint-Denis
Romania,Bucuresti
"Russian Federation",Moscow
Rwanda,Kigali
"Saudi Arabia",Riyadh
Sudan,Khartum
Senegal,Dakar
Singapore,Singapore
"Saint Helena",Jamestown
"Svalbard and Jan Mayen",Longyearbyen
"Solomon Islands",Honiara
"Sierra Leone",Freetown
"El Salvador","San Salvador"
"San Marino","San Marino"
Somalia,Mogadishu
"Saint Pierre and Miquelon",Saint-Pierre
"Sao Tome and Principe","São Tomé"
Suriname,Paramaribo
Slovakia,Bratislava
Slovenia,Ljubljana
Sweden,Stockholm
Swaziland,Mbabane
Seychelles,Victoria
Syria,Damascus
"Turks and Caicos Islands","Cockburn Town"
Chad,N´Djaména
Togo,Lomé
Thailand,Bangkok
Tajikistan,Dushanbe
Tokelau,Fakaofo
Turkmenistan,Ashgabat
"East Timor",Dili
Tonga,Nuku´alofa
"Trinidad and Tobago",Port-of-Spain
Tunisia,Tunis
Turkey,Ankara
Tuvalu,Funafuti
Taiwan,Taipei
Tanzania,Dodoma
Uganda,Kampala
Ukraine,Kyiv
Uruguay,Montevideo
"United States",Washington
Uzbekistan,Toskent
"Holy See (Vatican City State)","Città del Vaticano"
"Saint Vincent and the Grenadines",Kingstown
Venezuela,Caracas
"Virgin Islands, British","Road Town"
"Virgin Islands, U.S.","Charlotte Amalie"
Vietnam,Hanoi
Vanuatu,Port-Vila
"Wallis and Futuna",Mata-Utu
Samoa,Apia
Yemen,Sanaa
Yugoslavia,Beograd
"South Africa",Pretoria
Zambia,Lusaka
Zimbabwe,Harare
